seed,family,policy,layer,collision,bufferViolation,minGap,stopTime,stopped,brakeTime,finalSpeed
27000,nominal,baseline,nominal-model,false,false,8.013177681958325,15.050000000000079,true,10.750000000000018,0
27000,nominal,baseline,extended-model,false,false,8.89375734029585,14.900000000000077,true,10.750000000000018,0
27000,nominal,guarded,nominal-model,false,false,38.016760395377446,12.550000000000043,true,8.249999999999982,0
27000,nominal,guarded,extended-model,false,false,38.897188585220874,12.400000000000041,true,8.249999999999982,0
27000,nominal,no-speed-cap,nominal-model,false,false,38.016760395377446,12.550000000000043,true,8.249999999999982,0
27000,nominal,no-speed-cap,extended-model,false,false,38.897188585220874,12.400000000000041,true,8.249999999999982,0
27000,nominal,no-brake-bound,nominal-model,false,false,8.013177681958325,15.050000000000079,true,10.750000000000018,0
27000,nominal,no-brake-bound,extended-model,false,false,8.89375734029585,14.900000000000077,true,10.750000000000018,0
27001,nominal,baseline,nominal-model,false,false,8.270048303819237,13.850000000000062,true,9.199999999999996,0
27001,nominal,baseline,extended-model,false,false,10.87789325667569,13.400000000000055,true,9.199999999999996,0
27001,nominal,guarded,nominal-model,false,false,46.07538237603228,10.700000000000017,true,6.0499999999999865,0
27001,nominal,guarded,extended-model,false,false,48.68261928120046,10.25000000000001,true,6.0499999999999865,0
27001,nominal,no-speed-cap,nominal-model,false,false,46.07538237603228,10.700000000000017,true,6.0499999999999865,0
27001,nominal,no-speed-cap,extended-model,false,false,48.68261928120046,10.25000000000001,true,6.0499999999999865,0
27001,nominal,no-brake-bound,nominal-model,false,false,8.270048303819237,13.850000000000062,true,9.199999999999996,0
27001,nominal,no-brake-bound,extended-model,false,false,10.87789325667569,13.400000000000055,true,9.199999999999996,0
27002,nominal,baseline,nominal-model,false,false,8.436261943420334,12.550000000000043,true,7.84999999999998,0
27002,nominal,baseline,extended-model,false,false,10.121996682749852,12.250000000000039,true,7.84999999999998,0
27002,nominal,guarded,nominal-model,false,false,47.52493044809506,9.299999999999997,true,4.599999999999992,0
27002,nominal,guarded,extended-model,false,false,49.20422256072169,8.999999999999993,true,4.599999999999992,0
27002,nominal,no-speed-cap,nominal-model,false,false,47.52493044809506,9.299999999999997,true,4.599999999999992,0
27002,nominal,no-speed-cap,extended-model,false,false,49.20422256072169,8.999999999999993,true,4.599999999999992,0
27002,nominal,no-brake-bound,nominal-model,false,false,8.436261943420334,12.550000000000043,true,7.84999999999998,0
27002,nominal,no-brake-bound,extended-model,false,false,10.121996682749852,12.250000000000039,true,7.84999999999998,0
27003,nominal,baseline,nominal-model,false,false,8.116789310867944,16.4500000000001,true,12.100000000000037,0
